Ticker,Date,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Conversion rate
VOO,18/6/2021,Vanguard S&P 500 ETF,BUY,8,384.4,USD,-3075.2,0,1.3436965
VOO,1/6/2021,Vanguard S&P 500 ETF,BUY,2,387.71,USD,-775.42,0,1.3002021
APPL,28/5/2021,Apple Inc (All Sessions),BUY,1,125.05,USD,-125.05,0,1.3072748
QCOM,19/5/2021,QUALCOMM Inc (All Sessions),BUY,1,127.5,USD,-127.5,0,1.2981741
AMD,19/5/2021,Advanced Micro Devices Inc (All Sessions),BUY,2,73.4,USD,-146.8,0,1.2990028
PBW,19/5/2021,Invesco WilderHill Clean Energy Portfolio,BUY,2,75.75,USD,-151.5,0,1.2990028
ARKK,19/5/2021,ARK Innovation ETF,BUY,1,101.9,USD,-101.9,0,1.2988185
VIG,19/5/2021,Vanguard Specialized Funds - Vanguard Dividend Appreciation ETF,BUY,1,152.1,USD,-152.1,0,1.2988941
VOO,19/5/2021,Vanguard S&P 500 ETF,BUY,2,373.48,USD,-746.96,0,1.2999252
APPL,13/5/2021,Apple Inc (All Sessions),BUY,1,123.34,USD,-123.34,0,1.3065704
VOO,12/5/2021,Vanguard S&P 500 ETF,BUY,1,377.9,USD,-377.9,0,1.2963856
VOO,11/5/2021,Vanguard S&P 500 ETF,BUY,2,379.4,USD,-758.8,0,1.2858408
PBW,29/4/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,91.8,USD,-91.8,0,1.2940368
APPL,11/3/2021,Apple Inc (All Sessions),BUY,1,121.88,USD,-121.88,0,1.2930479
ARKK,11/3/2021,ARK Innovation ETF,BUY,1,128.16,USD,-128.16,0,1.2933304
VOO,11/3/2021,Vanguard S&P 500 ETF,BUY,1,362.545,USD,-362.55,0,1.2930152
SPY,10/3/2021,SPDR S&P 500 ETF Trust (All Sessions),SELL,-1,390.38,USD,390.38,0,1.2835592
SPY,10/3/2021,SPDR S&P 500 ETF Trust (All Sessions),BUY,1,390.41,USD,-390.41,0,1.3013365
VTI,10/3/2021,Vanguard Total Stock Market ETF,SELL,-3,263.14,AUD,789.42,-4.54,1
VIG,2/3/2021,Vanguard Specialized Funds - Vanguard Dividend Appreciation ETF,BUY,1,141.86,USD,-141.86,0,1.2893311
ARKK,25/2/2021,ARK Innovation ETF,BUY,1,128.66,USD,-128.66,0,1.2806246
PBW,25/2/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,105.89,USD,-105.89,0,1.2803884
IOO,25/2/2021,iShares Global 100 ETF - IOO (US),BUY,4,64.26,USD,-257.04,0,1.280755
GME,25/2/2021,GameStop Corp,SELL,-2,132.08,USD,264.16,0,1.2623071
GME,25/2/2021,GameStop Corp,BUY,2,141,USD,-282,0,1.2790954
GME,25/2/2021,GameStop Corp,SELL,-1,143.09,USD,143.09,0,1.2611765
GME,25/2/2021,GameStop Corp,BUY,1,141.36,USD,-141.36,0,1.2785516
PBW,23/2/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,108.19,USD,-108.19,0,1.2723082
QCOM,23/2/2021,QUALCOMM Inc (All Sessions),BUY,1,136.99,USD,-136.99,0,1.2741833
APPL,23/2/2021,Apple Inc (All Sessions),BUY,1,123.73,USD,-123.73,0,1.2743041
WBC,23/2/2021,Westpac Banking Corp,SELL,-6,23.71,AUD,142.26,-4.54,1
VTI,23/2/2021,Vanguard Total Stock Market ETF,BUY,2,260.79,AUD,-521.58,-4.54,1
ICLN,22/2/2021,iShares Global Clean Energy ETF,SELL,-9,26.57,USD,239.13,0,1.2548889
VGT,18/2/2021,Vanguard Information Technology ETF,BUY,1,371.93,USD,-371.93,0,1.2972874
ARKK,18/2/2021,ARK Innovation ETF,BUY,1,149.21,USD,-149.21,0,1.2972043
TSLA,18/2/2021,Tesla Motors Inc (All Sessions),SELL,-2,785.38,USD,1570.76,0,1.27912
BB,12/2/2021,Blackberry Ltd (US),SELL,-12,13,USD,156,0,1.2813315
,10/2/2021,QUALCOMM Inc (All Sessions),BUY,1,147.2,USD,-147.2,0,1.2992294
,9/2/2021,Blackberry Ltd (US),BUY,12,13.5,USD,-162,0,1.3047588
,3/2/2021,Apple Inc (All Sessions),BUY,1,135.22,USD,-135.22,0,1.3228939
,2/2/2021,iShares Global Clean Energy ETF,BUY,3,30.84,USD,-92.52,0,1.3267195
,2/2/2021,ARK Innovation ETF,BUY,1,147.52,USD,-147.52,0,1.3265795
,2/2/2021,Blackberry Ltd (US),SELL,-22,12.02,USD,264.44,0,1.3090679
,2/2/2021,GameStop Corp,SELL,-3,106.14,USD,318.42,0,1.3091111
,28/1/2021,Blackberry Ltd (US),BUY,6,16.1,USD,-96.6,0,1.3087783
,28/1/2021,GameStop Corp,BUY,1,235.66,USD,-235.66,0,1.3095441
,27/1/2021,GameStop Corp,BUY,2,293,USD,-586,0,1.3150161
,26/1/2021,GameStop Corp,SELL,-4,135,USD,540,0,1.2811582
,25/1/2021,Blackberry Ltd (US),BUY,6,17.57,USD,-105.42,0,1.3065956
,25/1/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,126.2,USD,-126.2,0,1.3071555
,25/1/2021,GameStop Corp,BUY,4,83.25,USD,-333,0,1.307011
,25/1/2021,GameStop Corp,SELL,-1,125,USD,125,0,1.2874617
,25/1/2021,GameStop Corp,SELL,-1,120,USD,120,0,1.2873868
,25/1/2021,GameStop Corp,BUY,1,90,USD,-90,0,1.3036692
,25/1/2021,Blackberry Ltd (US),BUY,10,18.61,USD,-186.1,0,1.3029271
,25/1/2021,GameStop Corp,BUY,1,97.56,USD,-97.56,0,1.3031043
,20/1/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,125.5,USD,-125.5,0,1.2980819
,19/1/2021,iShares Global Clean Energy ETF,BUY,3,31.4,USD,-94.2,0,1.3086675
,15/1/2021,iShares Global Clean Energy ETF,BUY,3,31.49,USD,-94.47,0,1.3054612
,14/1/2021,Advanced Micro Devices Inc (All Sessions),BUY,1,91.2,USD,-91.2,0,1.2988019
,6/1/2021,ARK Innovation ETF,BUY,1,126.715,USD,-126.72,0,1.2961606
,12/11/2020,Tesla Motors Inc (All Sessions),BUY,1,414.78,USD,-414.78,0,1.3863268
,6/11/2020,Square Inc,SELL,-1,193,USD,193,0,1.3689285
,6/11/2020,Zillow Group Inc,SELL,-1,113.66,USD,113.66,0,1.3669871
,6/11/2020,Commonwealth Bank of Australia,SELL,-2,70,AUD,140,-4.54,1
,5/11/2020,Vanguard Information Technology ETF,BUY,1,326.02,USD,-326.02,0,1.3830521
,5/11/2020,Microsoft Corp (All Sessions),SELL,-1,224,USD,224,0,1.3688058
,5/11/2020,BetaShares S&P/ASX Australian Technology ETF,SELL,-5,21.4,AUD,107,-4.54,1
,4/11/2020,Vanguard Australian Shares Index ETF,BUY,2,77.56,AUD,-155.12,-4.54,1
,4/11/2020,BetaShares NASDAQ 100 ETF,SELL,-4,27,AUD,108,-4.54,1
,4/11/2020,Vanguard Total Stock Market ETF,BUY,1,240.38,AUD,-240.38,-4.54,1
,2/11/2020,Fastly Inc,SELL,-1,63.91,USD,63.91,0,1.4095605
,27/10/2020,SPDR MSCI Australia Select High Dividend Yield Fund,BUY,10,25.41,AUD,-254.1,-7.27,1
,26/10/2020,iShares Global 100 ETF - IOO (US),BUY,4,56.63,USD,-226.52,0,1.4139287
,23/10/2020,Schrodinger Inc,SELL,-2,60.34,USD,120.68,0,1.3916721
,23/10/2020,Atlassian Corp PLC,SELL,-1,203.61,USD,203.61,0,1.392678
,14/10/2020,Fastly Inc,BUY,1,128,USD,-128,0,1.4016775
,14/10/2020,Square Inc,BUY,1,190.15,USD,-190.15,0,1.4014917
,14/10/2020,Zillow Group Inc,BUY,1,104.6,USD,-104.6,0,1.4023603
,14/10/2020,Advanced Micro Devices Inc (All Sessions),BUY,2,85.94,USD,-171.88,0,1.4024484
,14/10/2020,Commonwealth Bank of Australia,BUY,2,68.91,AUD,-137.82,-7.27,1
,13/10/2020,Atlassian Corp PLC,BUY,1,194.2,USD,-194.2,0,1.4041885
,13/10/2020,Tesla Motors Inc (All Sessions),BUY,1,443.34,USD,-443.34,0,1.4038753
,13/10/2020,Microsoft Corp (All Sessions),BUY,1,222.44,USD,-222.44,0,1.4038753
,13/10/2020,Westpac Banking Corp,BUY,6,18.87,AUD,-113.22,-7.27,1
,12/10/2020,Schrodinger Inc,BUY,2,58.23,USD,-116.46,0,1.3960323
,12/10/2020,Apple Inc (All Sessions),BUY,1,120.03,USD,-120.03,0,1.3958384
,12/10/2020,BetaShares S&P/ASX Australian Technology ETF,BUY,5,20.91,AUD,-104.55,-7.27,1
,12/10/2020,BetaShares NASDAQ 100 ETF,BUY,4,27.01,AUD,-108.04,-7.27,1
